family_id	sample_count	threshold_strict	threshold_moderate	threshold_loose	strict_confidence	moderate_confidence	loose_confidence
cluster_0	1175	0.0013	0.0015	0.0021	confident(n=0)	confident(n=0)	confident(n=0)
cluster_181	493	0.0009	0.0012	0.0021	confident(n=0)	confident(n=0)	confident(n=0)
cluster_4	487	0.0005	0.0006	0.0008	confident(n=0)	confident(n=0)	confident(n=0)
cluster_6	281	0.0007	0.0008	0.0011	confident(n=0)	confident(n=0)	confident(n=0)
cluster_5	240	0.0006	0.0007	0.0009	confident(n=0)	confident(n=0)	confident(n=0)
cluster_2	174	0.0008	0.0015	0.0027	confident(n=0)	confident(n=0)	confident(n=0)
cluster_10	130	0.0011	0.0013	0.0016	confident(n=0)	confident(n=0)	confident(n=0)
cluster_74	113	0.0003	0.0005	0.0005	confident(n=0)	confident(n=0)	confident(n=0)
cluster_183	100	0.0004	0.0008	0.0122	confident(n=0)	confident(n=0)	confident(n=0)
cluster_131	98	0.0004	0.0006	0.001	confident(n=0)	confident(n=0)	confident(n=0)
cluster_17	87	0.0006	0.0014	0.0036	confident(n=0)	confident(n=0)	confident(n=0)
cluster_197	85	0.0003	0.0003	0.0004	confident(n=0)	confident(n=0)	confident(n=0)
cluster_192	80	0.0009	0.0012	0.0018	confident(n=0)	confident(n=0)	confident(n=0)
cluster_182	62	0.0004	0.0004	0.0005	confident(n=0)	confident(n=0)	confident(n=0)
cluster_175	54	0.001	0.0011	0.0016	confident(n=0)	confident(n=0)	confident(n=0)
cluster_187	53	0.0031	0.0038	0.0049	confident(n=0)	confident(n=0)	confident(n=0)
cluster_196	49	0.0006	0.0008	0.0032	confident(n=0)	confident(n=0)	confident(n=0)
cluster_101	40	0.0006	0.0007	0.0013	confident(n=0)	confident(n=0)	confident(n=0)
cluster_8	39	0.0004	0.0006	0.0007	confident(n=0)	confident(n=0)	confident(n=0)
cluster_3	38	0.0085	0.0124	0.0169	confident(n=0)	confident(n=0)	confident(n=0)
cluster_12	33	0.0007	0.0016	0.0026	confident(n=0)	confident(n=0)	confident(n=0)
cluster_127	31	0.0004	0.0006	0.0017	confident(n=0)	confident(n=0)	confident(n=0)
cluster_103	30	0.0004	0.0004	0.0005	confident(n=0)	confident(n=0)	confident(n=0)
cluster_7	28	0.0002	0.0002	0.0002	confident(n=0)	confident(n=0)	confident(n=0)
cluster_123	27	0.0004	0.0004	0.0006	confident(n=0)	confident(n=0)	confident(n=0)
cluster_69	22	0.0006	0.0009	0.0011	confident(n=0)	confident(n=0)	confident(n=0)
cluster_208	18	0.0009	0.001	0.0014	confident(n=0)	confident(n=0)	confident(n=0)
cluster_88	17	0.0012	0.0018	0.0037	confident(n=0)	confident(n=0)	confident(n=0)
cluster_202	15	0.0004	0.0005	0.0006	confident(n=0)	confident(n=0)	confident(n=0)
cluster_14	15	0.0004	0.0004	0.0004	confident(n=0)	confident(n=0)	confident(n=0)
cluster_89	13	0.0001	0.0002	0.0003	confident(n=0)	confident(n=0)	confident(n=0)
cluster_145	13	0.0003	0.0003	0.0004	confident(n=0)	confident(n=0)	confident(n=0)
cluster_32	12	0.0041	0.005	0.0059	confident(n=0)	confident(n=0)	confident(n=0)
cluster_72	12	0.0014	0.0017	0.0019	confident(n=0)	confident(n=0)	confident(n=0)
cluster_95	11	0.001	0.0011	0.0012	confident(n=0)	confident(n=0)	confident(n=0)
cluster_77	11	0.0012	0.0012	0.0012	confident(n=0)	confident(n=0)	confident(n=0)
